molecule_chembl_id,smiles,standard_units,pIC50,standard_value,type,units,value
CHEMBL3642453,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(Br)ccc3O)NC(=O)NC1=O)C2,nM,5.0,10001.0,IC50,nM,10001.0
CHEMBL3642454,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(OC)nc3OC)NC(=O)NC1=O)C2,nM,6.0,1001.0,IC50,nM,1001.0
CHEMBL3642455,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cnc(C)[nH]c3=O)NC(=O)NC1=O)C2,nM,5.947,1130.0,IC50,nM,1130.0
CHEMBL3642456,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3c(C)ncc(C(=O)O)c3O)NC(=O)NC1=O)C2,nM,6.156,699.0,IC50,nM,699.0
CHEMBL3642457,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4csc(N)n4)c3)NC(=O)NC1=O)C2,nM,6.091,811.0,IC50,nM,811.0
CHEMBL3642458,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cc[nH]n4)nc3)NC(=O)NC1=O)C2,nM,6.636,231.0,IC50,nM,231.0
CHEMBL3642459,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4cc[nH]n4)c3)NC(=O)NC1=O)C2,nM,6.169,678.0,IC50,nM,678.0
CHEMBL3642460,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(N)n[nH]c4c3)NC(=O)NC1=O)C2,nM,6.509,309.6,IC50,nM,309.6
CHEMBL3642461,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4[nH]nc(N)c4c3)NC(=O)NC1=O)C2,nM,6.284,520.1,IC50,nM,520.1
CHEMBL3642462,CCN1CCN(c2n[nH]c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc23)CC1,nM,6.375,421.75,IC50,nM,421.75
CHEMBL3642463,CCN1CCN(c2n[nH]c3cc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)ccc23)CC1,nM,6.726,187.95,IC50,nM,187.95
CHEMBL3642464,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NS(C)(=O)=O)c3)NC(=O)NC1=O)C2,nM,6.413,386.0,IC50,nM,386.0
CHEMBL3642465,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NS(=O)(=O)C(C)C)c3)NC(=O)NC1=O)C2,nM,6.0,1001.0,IC50,nM,1001.0
CHEMBL3642466,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NC(C)=O)c3)NC(=O)NC1=O)C2,nM,6.353,444.0,IC50,nM,444.0
CHEMBL3642467,CCOC(=O)Nc1cncc(C#C[C@]2(CN3Cc4ccc(OC)cc4C3=O)NC(=O)NC2=O)c1,nM,5.91,1230.0,IC50,nM,1230.0
CHEMBL3642468,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3c[nH]c4nc(=O)oc-4c3)NC(=O)NC1=O)C2,nM,6.241,574.0,IC50,nM,574.0
CHEMBL3642469,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)c4ccc(F)cc4)cc3)NC(=O)NC1=O)C2,nM,6.02,954.0,IC50,nM,954.0
CHEMBL3642470,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,nM,7.398,40.0,IC50,nM,40.0
CHEMBL3642471,COc1ccc2c(c1Cl)C(=O)N(CC1(C#Cc3cccnc3)NC(=O)NC1=O)C2,nM,6.0,1001.0,IC50,nM,1001.0
CHEMBL3642472,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(Cl)cnc3N)NC(=O)NC1=O)C2,nM,5.0,10001.0,IC50,nM,10001.0
CHEMBL3642473,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccnc(SC)n3)NC(=O)NC1=O)C2,nM,5.518,3035.0,IC50,nM,3035.0
CHEMBL3642474,COc1ccc2c(c1)C(=O)N(C[C@]1(C#Cc3ccnc(SC)n3)NC(=O)NC1=O)C2,nM,5.0,10001.0,IC50,nM,10001.0
CHEMBL3642475,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(F)c(C(O)(O)C(F)(F)F)c3)NC(=O)NC1=O)C2,nM,5.929,1178.0,IC50,nM,1178.0
CHEMBL3642476,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(O)(O)C(F)(F)F)cc3)NC(=O)NC1=O)C2,nM,6.589,257.8,IC50,nM,257.8
CHEMBL3642477,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4noc(C)n4)cc3)NC(=O)NC1=O)C2,nM,5.614,2430.0,IC50,nM,2430.0
CHEMBL3642478,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4noc(C(N)=O)n4)c3)NC(=O)NC1=O)C2,nM,6.147,712.9,IC50,nM,712.9
